,,BCQ,BCQ,CQL,CQL,IQL,IQL,BC,BC
130,6500,-86.9424775546775,-36.2793401027952,-17.1726470291589,-46.6572200850797,-67.0410532531657,-42.7599621098073,-64.4366236148925,-23.0606608056378
131,6550,-72.1729662869873,-25.46935219152,-37.2772918946557,-46.2688438531204,-58.9931119276732,-67.3072644252461,-111.823952952385,-55.7935859484986
132,6600,-95.0776756462289,-39.9452860129372,-20.0119052347625,-48.4004123592477,-57.8267078978071,-39.4530445176107,-64.8807621075451,-49.517591075583
133,6650,-35.4496431148184,-49.5336464618049,-17.2187194572334,-20.3616416664563,-61.4673242247404,-26.1740930916447,-122.256298500443,-42.5292555795889
134,6700,-71.835179562062,-50.0413957100982,-18.4809054078246,-52.3265951338555,-57.6713909908118,-62.6199874294687,-97.1795154709637,-34.7000439665875
135,6750,-23.9205072057517,-47.3664349556795,-36.3094713281285,-26.5458842321841,-55.8942116129443,-33.4766450345171,-62.3309605092607,-39.5024891581842
136,6800,-84.4005047136541,-19.2122025957902,-18.9019737424779,-43.7428905349974,-63.6578249736139,-68.0312364234289,-113.161843515073,-35.3239296294447
137,6850,-72.2402514348464,-24.4612595429287,-17.432628523244,-16.0358014719724,-42.7774428051973,-39.2704800245912,-60.9576113885581,-56.0130122222119
138,6900,-30.7400571038878,-37.6833354771078,-16.175029609464,-16.4163391168844,-58.4655824723612,-64.669848213367,-97.2271044902006,-48.3303468948149
139,6950,-63.3572820700411,-37.0447503189018,-18.1597506500909,-45.0798539185159,-41.0645236142342,-67.5478334288269,-120.660796834421,-28.895442557553
140,7000,-78.2743891475933,-37.4450451077309,-24.2541165027134,-16.3921715137619,-40.0206585964827,-39.8085701139282,-91.4801810336715,-43.1923960317778
141,7050,-75.5135405898903,-27.8185380284783,-18.0879838838126,-47.2719801698219,-58.0186554049181,-51.3614827790275,-67.9431109746557,-43.5591242813773
142,7100,-72.2684780256729,-24.2097469655211,-19.58998782584,-16.6172923777296,-67.1306883111113,-72.9450273468835,-127.38926110436,-52.1654684473053
143,7150,-75.5826832768362,-31.2059473974971,-18.3107778556913,-35.0925848095962,-56.917659515504,-68.7043145705123,-116.350182786047,-42.3902681961189
144,7200,-27.838793620744,-26.7751079901608,-15.9886315843493,-34.0212627035762,-64.9666241182927,-63.4254082377369,-52.584612855713,-42.5078976166875
145,7250,-29.56661767425,-61.6860066230873,-17.2692320045796,-49.4127110637166,-57.7825730266787,-69.2930858088796,-124.651966232309,-52.0743114089229
146,7300,-74.7406597241083,-25.2524421236911,-46.9477055986451,-43.2481157588511,-64.7020306008704,-69.8834247722934,-71.2774230306912,-30.9692479228902
147,7350,-92.997157058989,-33.0688699869695,-18.4343756982241,-50.6182733203266,-54.7926686667532,-73.0945140272019,-61.8108830330718,-38.9827780058099
148,7400,-72.4535735631768,-21.7208356047959,-16.8916628202013,-40.1631489765963,-38.4321534374057,-62.6033064989674,-92.5540201522265,-49.9192813078842
149,7450,-92.7718717790703,-46.69712697165,-26.0002833126627,-38.1378533411997,-28.088631191617,-40.3550421452378,-88.4396726497481,-51.4748748373801
150,7500,-49.0989557771332,-25.6426187036017,-15.8865129478769,-53.274310334535,-58.4114919231099,-67.1347239092846,-31.2084471505692,-27.4506706744405
151,7550,-73.998237053119,-39.7725622211328,-17.8970646267514,-52.174836659778,-53.9880543761078,-72.5386365879922,-88.166022395231,-42.9126506713129
152,7600,-73.7707118274675,-61.7489386915023,-16.4016902017868,-34.9233377003771,-31.7664555021556,-65.5673288260625,-54.111703392174,-49.6481311744148
153,7650,-81.795819236571,-23.0215281363426,-22.720931092488,-37.3122360463925,-62.4037571123905,-58.1273033947367,-50.6753191352134,-54.1605057634325
